AVERAGED ALTITUDE UPTO THAT INSTANT,Pressure (milliBar),Temp Celcius
-21.7292,1009.6383,31
-21.6859,1009.651,31
-21.5783,1009.6249,31
-21.5556,1009.6591,31
-21.5681,1009.674,31
-21.471,1009.6286,31
-21.4487,1009.6591,31
-21.2949,1009.6046,31
-21.2824,1009.6629,31
-21.3467,1009.6949,31
-21.2936,1009.6458,31
-21.2901,1009.6666,31
-21.336,1009.6875,31
-21.5036,1009.7398,31
-21.6318,1009.7234,31
-21.7192,1009.7062,31
-21.7397,1009.6778,31
-21.7557,1009.6756,31
-21.798,1009.6869,31
-21.6864,1009.6211,31
-21.7068,1009.6778,31
-21.8435,1009.728,31
-22.0274,1009.7489,31
-22.038,1009.6735,31
-22.0052,1009.6548,31
-22.0317,1009.681,31
-22.0077,1009.6586,31
-21.8593,1009.604,31
-21.8445,1009.6623,31
-21.7144,1009.6116,31
-21.6659,1009.6473,31
-21.6135,1009.6452,31
-21.5614,1009.6452,31
-21.5222,1009.651,31
-21.4945,1009.6563,31
-21.4837,1009.6638,31
-21.4562,1009.6563,31
-21.3494,1009.6205,31
-21.2988,1009.6452,31
-21.2013,1009.6242,31
-21.1956,1009.6653,31
-21.1927,1009.6669,31
-21.26,1009.699,31
-21.3242,1009.6975,31
-21.3223,1009.6676,31
-21.483,1009.7429,31
-21.5611,1009.705,31
-21.5586,1009.6676,31
-21.6091,1009.6921,31
-21.5889,1009.6594,31
-21.5851,1009.6669,31
-21.5134,1009.6354,31
-21.4708,1009.6482,31
-21.6038,1009.7312,31
-21.5312,1009.6347,31
-21.4683,1009.6392,31
-21.4011,1009.637,31
-21.2667,1009.6048,31
-21.2531,1009.6616,31
-21.2634,1009.6729,31
-21.1895,1009.6333,31
-21.1487,1009.6482,31
-21.0878,1009.6392,31
-21.0338,1009.6422,31
-20.9937,1009.6482,31
-20.9499,1009.6467,31
-20.8707,1009.6295,31
-20.8068,1009.637,31
-20.7083,1009.6198,31
-20.5872,1009.6085,31
-20.52,1009.6347,31
-20.5573,1009.6856,31
-20.4374,1009.6085,31
-20.527,1009.7117,31
-20.564,1009.6856,31
-20.54,1009.6557,31
-20.5984,1009.6968,31
-20.6602,1009.6983,31
-20.5525,1009.614,31
-20.5777,1009.6803,31
-20.5008,1009.629,31
-20.566,1009.7005,31
-20.6048,1009.6871,31
-20.5662,1009.6476,31
-20.6432,1009.7065,31
-20.6308,1009.6609,31
-20.5437,1009.6235,31
-20.4681,1009.629,31
-20.4524,1009.6594,31
-20.3847,1009.6327,31
-20.3064,1009.6273,31
-20.2393,1009.6327,31
-20.2061,1009.6497,31
-20.2738,1009.702,31
-20.177,1009.6171,31
-20.23,1009.6945,31
-20.3479,1009.7289,31
-20.3112,1009.6476,31
-20.2747,1009.6476,31
-20.2622,1009.6602,31
-20.2893,1009.6813,31
-20.2191,1009.6303,31
-20.1128,1009.6111,31
-20.0409,1009.629,31
-20.0422,1009.6677,31
-20.0482,1009.6701,31
-19.9769,1009.629,31
-19.8836,1009.6171,31
-19.8441,1009.6453,31
-19.7198,1009.5998,31
-19.7148,1009.664,31
-19.6047,1009.6073,31
-19.6291,1009.6796,31
-19.5761,1009.6378,31
-19.5123,1009.632,31
-19.3603,1009.5834,31
-19.243,1009.6021,31
-19.1804,1009.632,31
-19.164,1009.6564,31
-19.174,1009.6714,31
-19.065,1009.6058,31
-19.0318,1009.647,31
-18.9327,1009.6111,31
-18.9295,1009.664,31
-18.9025,1009.6506,31
-18.7669,1009.5902,31
-18.7161,1009.6372,31
-18.7382,1009.6775,31
-18.7163,1009.6527,31
-18.7338,1009.6751,31
-18.6874,1009.6395,31
-18.6557,1009.647,31
-18.7434,1009.715,31
-18.6906,1009.6358,31
-18.6175,1009.6238,31
-18.6383,1009.6768,31
-18.6302,1009.6602,31
-18.6917,1009.7,31
-18.6693,1009.6522,31
-18.6316,1009.6432,31
-18.5694,1009.6296,31
-18.5233,1009.6387,31
-18.5276,1009.6677,31
-18.5286,1009.6657,31
-18.5068,1009.6522,31
-18.5339,1009.6806,31
-18.5284,1009.6619,31
-18.4738,1009.6334,31
-18.435,1009.6425,31
-18.4868,1009.6956,31
-18.4621,1009.6506,31
-18.408,1009.6334,31
-18.482,1009.7088,31
-18.4409,1009.6409,31
-18.3393,1009.6051,31
-18.3013,1009.6425,31
-18.324,1009.6783,31
-18.2359,1009.6126,31
-18.3411,1009.7275,31
-18.2881,1009.6334,31
-18.2096,1009.6179,31
-18.1534,1009.6313,31
-18.0728,1009.6163,31
-18.0208,1009.6334,31
-17.922,1009.6051,31
-17.8116,1009.5977,31
-17.7136,1009.6051,31
-17.6124,1009.6029,31
-17.5841,1009.6463,31
-17.5119,1009.6201,31
-17.4323,1009.6155,31
-17.3509,1009.614,31
-17.3388,1009.6558,31
-17.3595,1009.6762,31
-17.3207,1009.6402,31
-17.2765,1009.6365,31
-17.4645,1009.7798,31
-17.4512,1009.6552,31
-17.4441,1009.6589,31
-17.4431,1009.6627,31
-17.5645,1009.7397,31
-17.6199,1009.6986,31
-17.6478,1009.6814,31
-17.736,1009.7194,31
-17.8539,1009.7381,31
-17.8622,1009.6696,31
-17.8744,1009.6716,31
-17.9185,1009.692,31
-17.9575,1009.6889,31
-17.9515,1009.6604,31
-17.9377,1009.6552,31
-17.9546,1009.6753,31
-17.9407,1009.6552,31
-17.9201,1009.6508,31
-17.9063,1009.6552,31
-17.8208,1009.6098,31
-17.8624,1009.6911,31
-17.9184,1009.7,31
-17.8892,1009.6455,31
-17.9216,1009.6851,31
-18.0435,1009.7434,31
-18.0891,1009.694,31
-18.1987,1009.736,31
-18.2186,1009.6776,31
-18.2617,1009.6926,31
-18.3124,1009.6978,31
-18.3175,1009.6679,31
-18.3313,1009.6738,31
